               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10044,             0.17371,            0.037278,           0.0023315,              0.1513,           0.0019281,          0.00035642,            0.092467,             0.15986,            0.034608,             0.00038,             0.00038,             0.09658
                   1,            0.094035,             0.18886,            0.034636,           0.0029144,             0.18913,           0.0028133,          0.00059102,            0.090311,             0.16626,            0.032262,          0.00076998,          0.00076998,             0.09307
                   2,            0.092289,             0.19457,            0.032609,           0.0029872,             0.19385,           0.0030819,          0.00059432,            0.089278,             0.16925,             0.03063,           0.0011599,           0.0011599,             0.08956
                   3,            0.091075,              0.1889,            0.030987,           0.0046995,             0.30496,             0.01271,           0.0024617,            0.089736,             0.16813,            0.029391,           0.0015497,           0.0015497,             0.08605
                   4,            0.091406,             0.19278,            0.029971,            0.014791,             0.20922,            0.013647,           0.0024338,            0.089302,             0.16898,            0.028569,           0.0019392,           0.0019392,            0.082539
                   5,            0.090522,             0.19714,            0.029259,           0.0095286,             0.28605,            0.013905,           0.0028362,            0.089186,             0.16929,             0.02788,           0.0023286,           0.0023286,            0.079029
                   6,            0.089614,             0.19896,            0.028428,            0.021177,             0.12454,            0.020178,           0.0041867,            0.089239,             0.16941,            0.027248,           0.0027176,           0.0027176,            0.075518
                   7,            0.089377,             0.18904,            0.027822,             0.34912,             0.14539,            0.017184,           0.0040868,            0.089848,             0.16606,            0.026764,           0.0031062,           0.0031062,            0.072006
                   8,            0.088595,             0.19648,            0.027836,             0.38725,            0.086288,             0.03386,           0.0080421,            0.090487,             0.16166,            0.026305,           0.0034945,           0.0034945,            0.068494
                   9,            0.087796,             0.19789,            0.027182,             0.37861,             0.06974,            0.024448,            0.005607,            0.093716,             0.16202,            0.025915,           0.0038822,           0.0038822,            0.064982
                  10,            0.085285,             0.18828,             0.02633,             0.70921,            0.060284,            0.021171,           0.0044141,             0.10014,             0.14967,             0.02568,           0.0042694,           0.0042694,            0.061469
                  11,            0.081763,             0.19417,            0.025182,             0.71772,            0.078014,            0.041949,            0.010942,             0.10051,             0.14118,            0.029608,           0.0046561,           0.0046561,            0.057956
                  12,            0.076765,             0.18784,            0.022659,            0.083499,              0.1682,            0.036632,           0.0075357,            0.096307,             0.13751,            0.025287,            0.005042,            0.005042,            0.054442
                  13,            0.074837,             0.18309,            0.020892,            0.048706,             0.21472,            0.039337,            0.007243,             0.09819,             0.12451,            0.022031,           0.0054273,           0.0054273,            0.050927
                  14,            0.071376,             0.18286,            0.018866,            0.092161,             0.30785,            0.092183,            0.017101,            0.089102,             0.12983,            0.015957,           0.0058118,           0.0058118,            0.047412
