               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099137,             0.18234,              0.0364,           0.0023611,             0.16307,           0.0036087,          0.00088055,            0.090692,             0.12977,            0.034067,             0.00044,             0.00044,             0.09604
                   1,            0.093806,             0.19793,            0.033798,             0.00375,             0.25899,           0.0082058,           0.0014094,            0.088972,             0.13556,            0.031316,          0.00088995,          0.00088995,             0.09199
                   2,            0.092306,             0.19512,            0.031776,           0.0035837,               0.247,           0.0076538,           0.0014832,            0.088942,               0.136,            0.029369,           0.0013397,           0.0013397,             0.08794
                   3,            0.091479,              0.2045,             0.03022,           0.0055912,             0.26619,            0.011498,           0.0020281,            0.088417,             0.13756,            0.027969,           0.0017891,           0.0017891,            0.083889
                   4,            0.090889,             0.19571,            0.029155,           0.0096678,             0.24221,           0.0093519,           0.0017981,             0.08848,             0.13654,            0.026773,            0.002238,            0.002238,            0.079838
                   5,             0.09004,             0.19641,            0.028486,            0.010535,             0.16787,            0.010929,            0.002244,            0.088633,             0.13568,            0.025808,           0.0026863,           0.0026863,            0.075786
                   6,            0.089635,             0.19804,            0.027645,            0.021443,             0.17506,            0.022253,           0.0054438,            0.088614,             0.13491,            0.024744,           0.0031337,           0.0031337,            0.071734
                   7,            0.088127,             0.19851,             0.02693,             0.43078,             0.21675,            0.086309,            0.017186,            0.085373,             0.13834,             0.02235,           0.0035802,           0.0035802,             0.06768
                   8,            0.083226,             0.19254,             0.02479,             0.45412,             0.21011,             0.12601,            0.027378,            0.082455,             0.14028,            0.017294,           0.0040257,           0.0040257,            0.063626
                   9,            0.077735,             0.18811,            0.021969,             0.44391,              0.2792,             0.12037,            0.025946,             0.07777,             0.12167,            0.014156,           0.0044698,           0.0044698,             0.05957
                  10,            0.073679,             0.19162,            0.020092,             0.14356,             0.44062,             0.19761,            0.052956,            0.074877,              0.1177,            0.016273,           0.0049126,           0.0049126,            0.055513
                  11,            0.071974,             0.19247,            0.019287,             0.18207,             0.52165,             0.26198,            0.073661,            0.070005,             0.11203,            0.013448,           0.0053539,           0.0053539,            0.051454
                  12,            0.068878,              0.1853,            0.018175,             0.16685,             0.19583,             0.12291,            0.029641,            0.082772,             0.11202,            0.016782,           0.0057935,           0.0057935,            0.047393
                  13,            0.067475,              0.1863,            0.016963,             0.15657,             0.42349,             0.23349,            0.057433,            0.075297,             0.10814,            0.013365,           0.0062312,           0.0062312,            0.043331
                  14,            0.064363,             0.18161,            0.015612,             0.14793,             0.43149,             0.21418,            0.058916,            0.072221,             0.15129,            0.018246,            0.006667,            0.006667,            0.039267
                  15,            0.062333,             0.17762,            0.014344,             0.25328,             0.37027,             0.27965,            0.064971,            0.073056,             0.10601,           0.0092384,           0.0071006,           0.0071006,            0.035201
                  16,            0.060897,             0.18031,            0.013246,             0.18484,             0.34319,             0.18412,            0.038204,            0.076524,             0.11524,           0.0099365,            0.007532,            0.007532,            0.031132
                  17,             0.05881,             0.17111,            0.012415,             0.28077,             0.45005,             0.33233,            0.077165,            0.067696,             0.12759,            0.012469,            0.007961,            0.007961,            0.027061
                  18,            0.060729,             0.17819,            0.011271,            0.099547,             0.21154,             0.09306,            0.017368,            0.077453,             0.10801,           0.0089875,           0.0083874,           0.0083874,            0.022987
                  19,            0.060172,             0.17589,            0.011617,             0.37982,             0.51075,             0.42236,             0.13252,             0.05592,             0.11203,             0.01229,           0.0088112,           0.0088112,            0.018911
                  20,            0.057674,             0.17639,            0.010808,             0.33676,             0.44227,             0.31274,            0.067894,            0.064488,             0.11441,            0.012524,           0.0092321,           0.0092321,            0.014832
                  21,            0.058127,             0.17367,            0.010597,             0.32282,             0.51625,             0.39927,            0.086739,            0.062863,             0.10968,            0.010387,           0.0096501,           0.0096501,             0.01075
                  22,            0.055561,             0.16875,           0.0097494,             0.34393,             0.40954,             0.35756,             0.08642,            0.069465,             0.10167,           0.0085771,            0.009734,            0.009734,            0.009734
                  23,            0.054258,             0.16789,           0.0090499,             0.59979,             0.54673,             0.56988,             0.25143,             0.04729,             0.11133,           0.0084986,            0.009734,            0.009734,            0.009734
                  24,            0.053054,             0.16624,           0.0088123,             0.62229,              0.6812,             0.66048,             0.25513,            0.049117,             0.10372,            0.006706,           0.0097095,           0.0097095,           0.0097095
                  25,            0.051638,             0.17122,           0.0088731,              0.6577,               0.585,             0.63162,              0.1973,            0.055925,             0.10715,           0.0059971,            0.009684,            0.009684,            0.009684
                  26,             0.05133,             0.16717,           0.0085409,             0.43513,             0.57183,             0.50296,             0.28074,            0.039887,             0.11644,            0.016018,           0.0096575,           0.0096575,           0.0096575
                  27,            0.050721,             0.16687,           0.0083426,             0.39216,             0.64357,             0.49524,             0.23224,            0.046568,             0.11537,            0.014783,           0.0096299,           0.0096299,           0.0096299
                  28,            0.049447,             0.16301,           0.0083075,             0.58161,              0.6232,             0.61409,              0.2029,            0.055495,             0.10168,           0.0074647,           0.0096013,           0.0096013,           0.0096013
                  29,            0.049744,             0.16241,           0.0079189,             0.50859,             0.57274,             0.55184,              0.2564,              0.0453,             0.10888,             0.01317,           0.0095717,           0.0095717,           0.0095717
                  30,            0.047132,             0.16227,            0.007725,             0.60939,             0.57423,             0.62359,             0.25148,            0.047914,              0.1076,            0.011083,           0.0095411,           0.0095411,           0.0095411
                  31,            0.047857,             0.16788,           0.0074439,             0.62441,             0.64793,             0.67744,             0.23111,            0.054764,              0.1042,           0.0083863,           0.0095095,           0.0095095,           0.0095095
                  32,            0.048073,             0.16067,            0.007496,             0.59402,             0.71028,             0.69028,             0.33469,               0.049,             0.10128,           0.0064151,           0.0094769,           0.0094769,           0.0094769
                  33,            0.046888,             0.16534,           0.0074892,             0.65289,              0.6915,             0.72688,             0.32447,            0.046885,             0.10324,           0.0062475,           0.0094434,           0.0094434,           0.0094434
                  34,            0.045605,             0.16098,           0.0069256,             0.63991,             0.61088,             0.63853,             0.26823,             0.04647,             0.10491,           0.0078046,           0.0094088,           0.0094088,           0.0094088
                  35,            0.045206,             0.15675,           0.0066932,             0.62816,             0.73097,             0.73286,             0.37861,            0.041351,              0.1016,           0.0065601,           0.0093733,           0.0093733,           0.0093733
                  36,            0.045441,             0.15817,           0.0070772,             0.64015,             0.66397,             0.69565,             0.34357,            0.042734,             0.10389,           0.0077996,           0.0093369,           0.0093369,           0.0093369
                  37,            0.044478,             0.15686,           0.0065913,             0.65943,             0.69003,             0.70393,             0.34001,            0.043687,             0.10307,           0.0083983,           0.0092995,           0.0092995,           0.0092995
                  38,            0.045542,             0.15815,           0.0066218,              0.5694,             0.55317,             0.56411,             0.27706,             0.04025,             0.10915,            0.011092,           0.0092611,           0.0092611,           0.0092611
                  39,            0.043412,             0.15852,            0.006577,             0.51932,             0.58403,             0.56058,             0.30412,            0.040362,             0.10549,            0.012642,           0.0092219,           0.0092219,           0.0092219
                  40,            0.044181,             0.15477,           0.0066929,             0.47076,             0.53458,              0.4901,             0.28341,            0.036691,             0.11625,            0.015613,           0.0091817,           0.0091817,           0.0091817
                  41,            0.042967,             0.15679,           0.0064878,              0.6496,             0.64908,             0.67109,             0.29811,            0.047977,             0.10072,           0.0078581,           0.0091406,           0.0091406,           0.0091406
                  42,            0.043582,             0.15527,           0.0063063,             0.61776,             0.71751,             0.74067,             0.39567,             0.03925,             0.10333,            0.007043,           0.0090986,           0.0090986,           0.0090986
                  43,            0.041601,             0.15169,           0.0062396,             0.53465,             0.58121,             0.59766,             0.33201,            0.040537,             0.10719,            0.012479,           0.0090557,           0.0090557,           0.0090557
                  44,            0.042174,             0.15242,           0.0062754,             0.60171,             0.67719,             0.68478,             0.26501,            0.051862,             0.10514,           0.0067159,           0.0090119,           0.0090119,           0.0090119
                  45,            0.042828,             0.15387,           0.0061141,              0.5945,             0.66155,             0.69472,             0.37322,            0.042686,             0.10689,           0.0096417,           0.0089673,           0.0089673,           0.0089673
                  46,            0.041905,             0.15761,           0.0058733,             0.53652,             0.61308,             0.56455,             0.30375,             0.04029,             0.10589,            0.010487,           0.0089218,           0.0089218,           0.0089218
                  47,            0.040583,             0.15405,            0.006036,             0.64378,             0.59224,             0.63944,             0.36655,            0.037818,             0.11072,            0.011251,           0.0088755,           0.0088755,           0.0088755
                  48,            0.040712,             0.15099,           0.0060596,             0.65139,             0.66083,             0.69074,             0.36176,            0.039109,             0.10791,           0.0065366,           0.0088283,           0.0088283,           0.0088283
                  49,            0.041647,             0.15033,           0.0059987,             0.63716,             0.66872,             0.70044,             0.33723,            0.044406,             0.10658,            0.007908,           0.0087804,           0.0087804,           0.0087804
                  50,            0.041121,               0.147,           0.0058786,               0.635,             0.67829,             0.68681,             0.37288,            0.042915,             0.10763,           0.0089606,           0.0087316,           0.0087316,           0.0087316
                  51,            0.041045,             0.15327,           0.0059461,             0.56014,             0.69341,             0.68987,             0.39457,            0.038474,             0.10917,           0.0096262,            0.008682,            0.008682,            0.008682
                  52,            0.040847,             0.14743,           0.0059367,             0.59042,             0.61884,              0.6439,             0.37845,            0.035672,             0.11102,            0.011453,           0.0086316,           0.0086316,           0.0086316
                  53,            0.040147,             0.15125,           0.0055473,             0.63909,             0.69373,             0.71845,             0.34253,            0.044165,             0.10778,           0.0062138,           0.0085805,           0.0085805,           0.0085805
                  54,            0.039849,             0.14176,           0.0055625,             0.66508,             0.63707,             0.66836,              0.3662,            0.039573,             0.11281,           0.0086028,           0.0085286,           0.0085286,           0.0085286
                  55,            0.038633,             0.14398,           0.0058419,             0.64988,             0.68541,              0.7107,             0.35949,            0.041251,             0.10944,            0.006208,           0.0084759,           0.0084759,           0.0084759
                  56,            0.039193,              0.1466,            0.005583,             0.60808,             0.68336,             0.70373,             0.35769,             0.03973,             0.10618,            0.007934,           0.0084225,           0.0084225,           0.0084225
                  57,            0.039215,             0.14972,           0.0056073,              0.6162,             0.70392,             0.71884,             0.39535,            0.038216,             0.10526,            0.008523,           0.0083684,           0.0083684,           0.0083684
                  58,            0.039804,             0.14635,           0.0054464,             0.58426,             0.60165,             0.60741,             0.29507,            0.040876,             0.10852,              0.0103,           0.0083136,           0.0083136,           0.0083136
                  59,             0.03848,             0.14531,           0.0053832,             0.55584,             0.66909,             0.66397,              0.3926,            0.036962,             0.11379,           0.0094893,           0.0082581,           0.0082581,           0.0082581
                  60,            0.039126,             0.14464,           0.0054359,             0.61293,             0.72117,             0.73603,             0.34115,             0.04312,             0.10969,           0.0055204,           0.0082019,           0.0082019,           0.0082019
                  61,            0.038367,             0.14244,           0.0051969,             0.65414,             0.63183,              0.6987,             0.35916,            0.041182,             0.10501,           0.0070842,            0.008145,            0.008145,            0.008145
                  62,            0.038659,             0.14488,           0.0053243,             0.58551,             0.71478,             0.72219,             0.37312,            0.040714,             0.10562,           0.0067769,           0.0080875,           0.0080875,           0.0080875
                  63,            0.037863,              0.1461,           0.0053223,             0.64928,             0.67267,             0.73371,              0.4125,            0.037582,             0.10555,           0.0059685,           0.0080294,           0.0080294,           0.0080294
                  64,            0.037517,             0.14529,           0.0053334,             0.58725,             0.68341,              0.6819,              0.3771,            0.037732,             0.10548,           0.0084971,           0.0079706,           0.0079706,           0.0079706
                  65,            0.038393,             0.14192,           0.0052478,             0.62668,             0.61896,             0.65714,             0.40769,            0.034153,             0.11066,            0.010216,           0.0079112,           0.0079112,           0.0079112
                  66,             0.03742,             0.14261,           0.0051805,             0.54069,             0.73179,             0.69378,             0.37566,            0.039521,             0.10961,           0.0071285,           0.0078512,           0.0078512,           0.0078512
                  67,            0.037041,             0.13828,           0.0050675,             0.60584,             0.68992,             0.70195,             0.38241,            0.038607,             0.10332,           0.0067401,           0.0077907,           0.0077907,           0.0077907
                  68,            0.036791,             0.13902,           0.0049787,             0.61905,             0.75048,             0.74918,             0.38708,            0.040504,            0.099403,            0.005558,           0.0077296,           0.0077296,           0.0077296
                  69,            0.037359,             0.14084,           0.0049092,             0.63002,             0.65149,             0.67562,             0.33286,            0.043364,             0.11424,           0.0069586,           0.0076679,           0.0076679,           0.0076679
                  70,            0.036782,              0.1411,           0.0051399,             0.56234,             0.69469,             0.69829,             0.38646,            0.039981,             0.11349,           0.0072502,           0.0076057,           0.0076057,           0.0076057
                  71,            0.037238,             0.14225,           0.0050239,             0.68995,             0.64386,             0.71008,             0.32514,             0.04441,             0.10811,           0.0060099,            0.007543,            0.007543,            0.007543
                  72,            0.036966,             0.14241,           0.0050755,             0.66451,             0.63965,             0.69768,             0.40641,            0.036639,             0.11138,            0.008425,           0.0074797,           0.0074797,           0.0074797
