               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099727,             0.17272,            0.037045,           0.0026958,             0.17494,            0.002239,          0.00041604,            0.092424,             0.15971,             0.03461,             0.00038,             0.00038,             0.09658
                   1,            0.093515,             0.18933,            0.034333,            0.003133,             0.20331,            0.002626,          0.00051214,             0.09036,             0.16585,            0.032412,          0.00076998,          0.00076998,             0.09307
                   2,            0.092386,             0.20147,            0.032375,           0.0028597,             0.18558,           0.0024407,          0.00043043,            0.089538,             0.16816,            0.030786,           0.0011599,           0.0011599,             0.08956
                   3,            0.091042,             0.20467,            0.030886,           0.0056263,             0.28487,           0.0061254,           0.0013022,            0.089262,             0.16893,            0.029499,           0.0015497,           0.0015497,             0.08605
                   4,            0.090716,             0.19405,            0.029598,            0.037429,            0.041981,            0.014532,           0.0030306,             0.08945,             0.16798,             0.02855,           0.0019392,           0.0019392,            0.082539
                   5,             0.09003,             0.18994,            0.028791,            0.012349,              0.1052,            0.013531,           0.0030955,            0.089892,             0.16606,            0.027789,           0.0023286,           0.0023286,            0.079029
                   6,            0.089704,             0.19483,            0.028387,            0.036725,             0.10757,            0.031182,           0.0066672,            0.089891,             0.16534,            0.027146,           0.0027176,           0.0027176,            0.075518
                   7,            0.089552,             0.18987,            0.027733,             0.39552,            0.066194,            0.040357,           0.0099041,            0.090109,             0.16022,             0.02659,           0.0031062,           0.0031062,            0.072006
                   8,             0.08813,             0.19032,            0.027238,             0.75986,            0.094563,            0.070288,            0.013424,            0.091213,             0.15708,            0.026042,           0.0034945,           0.0034945,            0.068494
                   9,            0.086056,             0.19083,            0.026546,              0.4593,             0.14268,             0.10638,            0.023119,            0.088486,             0.14577,            0.024339,           0.0038822,           0.0038822,            0.064982
                  10,            0.082123,             0.19407,            0.024908,             0.44805,             0.19439,            0.095851,            0.019566,            0.080743,             0.16191,            0.020422,           0.0042694,           0.0042694,            0.061469
                  11,            0.077943,             0.18488,            0.022668,             0.44129,             0.28247,              0.1101,            0.022857,            0.078777,              0.1471,            0.017065,           0.0046561,           0.0046561,            0.057956
                  12,            0.073019,             0.18633,            0.020442,             0.50984,             0.24737,             0.20289,            0.069776,            0.072954,             0.15141,            0.016565,            0.005042,            0.005042,            0.054442
                  13,            0.072183,             0.18605,            0.020149,             0.39223,             0.15819,             0.05674,            0.013422,            0.080511,             0.17508,            0.019738,           0.0054273,           0.0054273,            0.050927
                  14,            0.069409,             0.18699,            0.018667,             0.17656,             0.48506,             0.23782,            0.058441,            0.075903,             0.14568,            0.015067,           0.0058118,           0.0058118,            0.047412
                  15,            0.066173,             0.18253,            0.017722,              0.1953,             0.42358,             0.21174,            0.047634,            0.075868,             0.14719,            0.015804,           0.0061955,           0.0061955,            0.043895
                  16,             0.06518,             0.18314,            0.017094,             0.52384,            0.074899,            0.065052,            0.012919,            0.090506,             0.14403,            0.023115,           0.0065783,           0.0065783,            0.040378
                  17,            0.063727,             0.18385,            0.015851,            0.058863,             0.28539,            0.047939,            0.009717,            0.086914,             0.14685,             0.02028,           0.0069601,           0.0069601,             0.03686
                  18,            0.062271,             0.17875,            0.014728,             0.58206,              0.2638,             0.23431,            0.043631,            0.075519,             0.14927,            0.012552,            0.007341,            0.007341,            0.033341
                  19,            0.060106,             0.17504,            0.013494,             0.42935,             0.43425,             0.40178,             0.11337,            0.068433,             0.14738,           0.0094584,           0.0077208,           0.0077208,            0.029821
                  20,              0.0595,              0.1719,            0.012661,             0.48925,             0.61657,             0.51388,             0.17884,            0.060519,             0.13764,           0.0093477,           0.0080996,           0.0080996,              0.0263
                  21,            0.060531,             0.17664,            0.012243,             0.30463,             0.39985,             0.23926,            0.051755,            0.069747,             0.16053,            0.012216,           0.0084771,           0.0084771,            0.022777
                  22,            0.058779,             0.17863,            0.011824,            0.098086,             0.24751,            0.068895,            0.011482,            0.086632,             0.12552,           0.0068861,           0.0088535,           0.0088535,            0.019253
                  23,            0.059798,              0.1682,            0.011499,             0.42398,             0.47004,             0.35378,            0.063097,            0.068644,             0.13514,            0.006143,           0.0092285,           0.0092285,            0.015729
                  24,            0.056209,             0.17591,            0.010604,             0.31944,             0.50057,             0.34622,            0.079312,            0.070677,             0.13728,            0.010409,           0.0096023,           0.0096023,            0.012202
                  25,            0.055859,             0.16553,            0.010103,             0.49417,             0.72398,             0.64874,             0.20191,            0.057948,             0.14613,           0.0069941,           0.0098467,           0.0098467,           0.0098467
                  26,            0.055508,             0.16576,           0.0098392,             0.23876,             0.36105,             0.21782,            0.096684,             0.05785,             0.15127,            0.023709,           0.0098467,           0.0098467,           0.0098467
                  27,            0.054414,             0.16829,           0.0095987,             0.52713,             0.60747,             0.56504,             0.14134,            0.064172,             0.12684,           0.0047468,           0.0098342,           0.0098342,           0.0098342
                  28,            0.054072,             0.16333,           0.0093334,             0.41309,             0.41387,             0.38714,             0.12936,            0.067143,             0.13314,            0.014257,           0.0098213,           0.0098213,           0.0098213
                  29,            0.051736,             0.16046,           0.0086788,             0.65609,             0.74862,             0.73603,             0.29071,            0.051191,             0.12666,           0.0068728,           0.0098079,           0.0098079,           0.0098079
                  30,            0.051576,              0.1627,           0.0082505,             0.58651,             0.55008,             0.55006,             0.15957,            0.063252,             0.12786,           0.0091623,           0.0097941,           0.0097941,           0.0097941
                  31,            0.051099,             0.16158,           0.0084118,             0.52736,             0.62816,              0.5781,             0.25166,            0.045628,              0.1332,            0.014089,           0.0097798,           0.0097798,           0.0097798
                  32,            0.049757,             0.16708,           0.0079637,             0.51214,             0.58673,             0.54607,             0.20421,             0.06012,             0.12346,           0.0086505,            0.009765,            0.009765,            0.009765
                  33,            0.049132,             0.16367,           0.0080598,             0.49796,             0.58108,             0.51763,             0.20832,            0.058873,             0.13253,            0.009419,           0.0097497,           0.0097497,           0.0097497
                  34,            0.049431,             0.16276,           0.0078623,             0.69358,             0.64232,             0.69545,             0.26578,            0.050134,             0.12399,           0.0083813,            0.009734,            0.009734,            0.009734
                  35,            0.049045,              0.1634,           0.0077027,             0.48254,             0.58763,             0.51374,             0.19873,            0.051972,             0.14111,             0.01615,           0.0097178,           0.0097178,           0.0097178
                  36,             0.04785,             0.16117,           0.0076112,             0.65775,             0.74168,             0.76402,             0.34431,            0.047094,             0.12443,            0.006673,           0.0097011,           0.0097011,           0.0097011
                  37,            0.048298,             0.15827,           0.0073438,             0.63801,             0.73973,             0.73861,             0.35669,             0.04444,             0.12016,           0.0082451,            0.009684,            0.009684,            0.009684
                  38,            0.047218,             0.16004,            0.007236,              0.6496,             0.66977,              0.6789,             0.25993,            0.051481,             0.13492,           0.0071366,           0.0096664,           0.0096664,           0.0096664
                  39,             0.04739,             0.15389,           0.0070765,             0.65182,             0.68146,              0.6896,             0.28974,            0.048998,             0.12748,            0.010542,           0.0096484,           0.0096484,           0.0096484
                  40,            0.046094,             0.14821,           0.0072524,             0.72077,             0.73033,             0.77718,             0.38745,            0.045611,             0.11655,           0.0055158,           0.0096299,           0.0096299,           0.0096299
                  41,            0.045544,             0.16102,            0.007131,             0.66274,             0.72135,              0.7228,              0.3227,            0.047447,             0.13263,           0.0056376,            0.009611,            0.009611,            0.009611
                  42,            0.045921,             0.15382,           0.0070622,             0.59209,             0.68561,             0.66571,              0.2511,            0.051702,             0.11849,             0.01055,           0.0095916,           0.0095916,           0.0095916
                  43,            0.046156,             0.15668,           0.0068243,             0.66847,             0.74555,             0.75825,             0.42049,            0.041237,             0.12621,           0.0091361,           0.0095717,           0.0095717,           0.0095717
                  44,            0.044608,              0.1516,           0.0067543,             0.71104,              0.7514,             0.78954,             0.42477,            0.039112,             0.12088,           0.0074065,           0.0095514,           0.0095514,           0.0095514
                  45,            0.045253,             0.15302,            0.006506,             0.61433,             0.69003,             0.68297,             0.38032,            0.040433,             0.12446,             0.01145,           0.0095307,           0.0095307,           0.0095307
                  46,            0.044795,             0.15666,           0.0068861,             0.62577,             0.67693,             0.67846,             0.30634,            0.047069,             0.12566,           0.0088905,           0.0095095,           0.0095095,           0.0095095
                  47,            0.044436,             0.15402,           0.0065955,             0.66101,             0.71502,              0.7149,             0.40324,              0.0392,             0.12536,            0.010024,           0.0094879,           0.0094879,           0.0094879
                  48,            0.043104,              0.1549,           0.0064259,             0.70155,             0.75382,             0.79398,             0.36329,            0.045391,             0.12308,           0.0065752,           0.0094659,           0.0094659,           0.0094659
                  49,             0.04304,             0.15035,           0.0064563,             0.68793,             0.77595,             0.81256,             0.46028,            0.039231,             0.12716,             0.00615,           0.0094434,           0.0094434,           0.0094434
                  50,            0.044015,             0.15235,           0.0060918,             0.61608,             0.71794,             0.68938,             0.34539,             0.04309,             0.12971,           0.0099015,           0.0094205,           0.0094205,           0.0094205
                  51,            0.042826,             0.14821,           0.0065327,             0.66591,             0.73272,             0.74954,             0.43718,            0.039205,             0.12064,           0.0089822,           0.0093971,           0.0093971,           0.0093971
                  52,            0.042038,             0.15007,           0.0061975,             0.62267,             0.69063,             0.68823,              0.2765,            0.047261,             0.12778,            0.010134,           0.0093733,           0.0093733,           0.0093733
                  53,            0.041887,             0.14601,           0.0062803,             0.70478,             0.66969,             0.70074,             0.29503,            0.048042,             0.12876,           0.0086892,           0.0093491,           0.0093491,           0.0093491
                  54,            0.042971,             0.14699,           0.0061617,             0.69438,             0.76884,             0.78901,             0.45895,            0.039475,             0.11686,           0.0066626,           0.0093245,           0.0093245,           0.0093245
                  55,            0.042758,             0.14889,           0.0061566,             0.68127,             0.73494,             0.72947,             0.35283,             0.04641,             0.12419,           0.0079804,           0.0092995,           0.0092995,           0.0092995
                  56,            0.043056,             0.14449,           0.0064533,             0.73741,             0.72118,             0.77365,             0.39657,            0.044075,             0.11825,           0.0069382,            0.009274,            0.009274,            0.009274
                  57,            0.042286,             0.14634,           0.0060134,             0.62096,             0.70464,             0.73185,              0.3803,            0.041388,             0.12672,            0.010272,           0.0092481,           0.0092481,           0.0092481
                  58,            0.040975,             0.14709,            0.005864,             0.64104,             0.71763,             0.68858,             0.35976,            0.046692,             0.11672,           0.0080704,           0.0092219,           0.0092219,           0.0092219
                  59,            0.041001,             0.14527,           0.0058055,             0.77731,             0.70082,              0.7737,             0.42423,            0.040026,             0.12578,           0.0065651,           0.0091952,           0.0091952,           0.0091952
