               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099276,             0.18071,            0.036819,           0.0023264,             0.16067,           0.0019549,          0.00039361,            0.091395,             0.12831,            0.034005,             0.00044,             0.00044,             0.09604
                   1,            0.093661,             0.19793,            0.034041,           0.0027083,             0.18705,           0.0028532,          0.00054536,             0.08942,             0.13447,            0.031434,          0.00088995,          0.00088995,             0.09199
                   2,            0.092356,             0.20851,            0.031998,           0.0042225,             0.05036,           0.0058207,            0.001133,            0.089029,             0.13648,            0.029558,           0.0013397,           0.0013397,             0.08794
                   3,            0.091156,             0.20647,            0.030335,            0.010591,            0.079137,           0.0091362,           0.0016958,            0.088654,             0.13687,            0.028109,           0.0017891,           0.0017891,            0.083889
                   4,             0.09033,             0.20064,            0.029522,           0.0086195,             0.27818,            0.011949,           0.0023915,            0.088988,             0.13588,            0.026964,            0.002238,            0.002238,            0.079838
                   5,            0.090118,             0.19523,            0.028666,            0.045585,             0.05036,            0.038079,           0.0081656,            0.088979,             0.13488,            0.026068,           0.0026863,           0.0026863,            0.075786
                   6,            0.089582,             0.19546,             0.02802,             0.40602,             0.14388,            0.056026,            0.013976,            0.089421,             0.12785,            0.025289,           0.0031337,           0.0031337,            0.071734
                   7,            0.088364,             0.19634,            0.027174,             0.45323,             0.22066,             0.10377,            0.029465,             0.08733,               0.133,            0.023563,           0.0035802,           0.0035802,             0.06768
                   8,            0.084562,             0.19475,            0.026098,             0.45596,             0.13991,            0.050952,            0.010118,            0.090233,             0.11888,            0.021532,           0.0040257,           0.0040257,            0.063626
                   9,             0.07987,             0.19551,            0.023212,             0.77221,             0.10791,             0.08618,            0.018367,            0.086079,             0.12518,            0.020054,           0.0044698,           0.0044698,             0.05957
                  10,            0.074725,             0.19083,            0.020525,             0.51953,             0.31501,             0.22994,            0.061058,            0.071331,             0.11826,            0.013917,           0.0049126,           0.0049126,            0.055513
                  11,            0.072681,              0.1873,            0.019821,             0.49956,             0.19378,             0.13162,             0.02798,            0.078236,             0.12168,            0.015064,           0.0053539,           0.0053539,            0.051454
                  12,            0.070067,             0.19248,              0.0188,             0.17776,             0.42067,             0.21275,            0.055592,            0.074704,             0.11465,            0.014105,           0.0057935,           0.0057935,            0.047393
                  13,            0.066993,             0.19032,            0.017531,             0.16393,             0.14275,            0.070865,            0.024012,            0.074847,             0.14413,            0.021327,           0.0062312,           0.0062312,            0.043331
                  14,            0.064987,             0.18116,            0.016803,              0.1741,             0.28311,             0.15749,            0.034227,            0.076516,             0.11218,            0.010513,            0.006667,            0.006667,            0.039267
                  15,            0.062542,             0.18642,            0.015151,             0.32451,             0.50311,             0.32877,            0.084876,            0.069174,             0.11954,           0.0090865,           0.0071006,           0.0071006,            0.035201
                  16,            0.061476,             0.18268,            0.014036,             0.33957,              0.4937,             0.37385,             0.10755,             0.06356,             0.10992,            0.009225,            0.007532,            0.007532,            0.031132
                  17,            0.060316,             0.17929,            0.012789,              0.4522,             0.54747,             0.44742,             0.10775,            0.061369,             0.11007,           0.0069741,            0.007961,            0.007961,            0.027061
                  18,             0.06065,             0.17247,            0.011622,             0.37553,             0.43633,             0.31942,            0.073556,               0.063,             0.12108,           0.0085812,           0.0083874,           0.0083874,            0.022987
                  19,            0.059733,             0.18061,            0.011612,             0.18176,             0.16721,             0.14752,            0.027192,            0.089474,              0.1014,            0.006367,           0.0088112,           0.0088112,            0.018911
                  20,            0.059141,             0.17313,            0.010995,              0.3948,             0.62268,             0.46844,             0.13826,            0.058795,             0.11066,           0.0071293,           0.0092321,           0.0092321,            0.014832
                  21,            0.057096,              0.1814,            0.010778,             0.39483,              0.5051,             0.43778,             0.10863,             0.05973,             0.11439,            0.010499,           0.0096501,           0.0096501,             0.01075
                  22,            0.056918,             0.16753,            0.010028,             0.41208,             0.58413,             0.44878,              0.2049,            0.049833,             0.11601,            0.012815,            0.009734,            0.009734,            0.009734
                  23,            0.053929,             0.17097,           0.0095203,             0.28195,             0.21039,             0.13944,            0.024522,            0.075282,             0.11663,           0.0055604,            0.009734,            0.009734,            0.009734
                  24,            0.052987,             0.16898,           0.0089002,             0.51312,             0.51983,             0.52321,             0.16286,            0.055496,             0.10747,            0.010701,           0.0097095,           0.0097095,           0.0097095
                  25,            0.053801,             0.16611,           0.0088698,             0.63123,             0.56257,             0.57711,             0.17589,            0.053946,              0.1065,           0.0078981,            0.009684,            0.009684,            0.009684
