               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099875,             0.16847,            0.036927,           0.0022951,             0.14894,           0.0017569,          0.00030795,            0.091553,             0.16201,            0.034525,             0.00038,             0.00038,             0.09658
                   1,            0.092957,             0.17789,            0.034294,           0.0030601,             0.19858,           0.0026269,          0.00049968,            0.090365,               0.166,            0.032242,          0.00076998,          0.00076998,             0.09307
                   2,            0.091437,             0.19358,            0.032288,            0.003133,             0.20331,           0.0033648,          0.00060425,            0.089578,             0.16847,            0.030571,           0.0011599,           0.0011599,             0.08956
                   3,            0.091434,             0.19148,             0.03061,            0.011635,            0.031915,           0.0056278,           0.0010533,            0.089767,             0.16743,            0.029369,           0.0015497,           0.0015497,             0.08605
                   4,            0.090867,             0.19631,            0.029817,           0.0056608,            0.080378,           0.0059129,           0.0012231,            0.089933,             0.16714,            0.028453,           0.0019392,           0.0019392,            0.082539
                   5,            0.090863,             0.19221,            0.029076,            0.012172,            0.034279,           0.0077157,           0.0014301,            0.091197,              0.1631,            0.028024,           0.0023286,           0.0023286,            0.079029
                   6,            0.089745,             0.19195,            0.028082,             0.68369,            0.043735,            0.012051,           0.0022611,            0.090545,             0.16255,            0.027276,           0.0027176,           0.0027176,            0.075518
                   7,            0.089003,             0.19646,            0.027791,            0.023731,             0.10165,            0.018714,            0.004106,            0.091021,             0.16134,            0.026634,           0.0031062,           0.0031062,            0.072006
                   8,            0.088854,             0.19133,            0.027298,             0.68635,             0.10875,            0.021432,           0.0050537,            0.090532,              0.1592,            0.026181,           0.0034945,           0.0034945,            0.068494
                   9,            0.086414,             0.18517,            0.026594,             0.39584,              0.1751,            0.063387,            0.012375,            0.084828,             0.16065,            0.024595,           0.0038822,           0.0038822,            0.064982
                  10,            0.083778,             0.18481,            0.025722,             0.49042,             0.11107,            0.053369,            0.010591,            0.090566,             0.15497,            0.024533,           0.0042694,           0.0042694,            0.061469
                  11,            0.080468,             0.18219,            0.024187,             0.36844,            0.085106,            0.032943,           0.0070066,             0.08503,             0.19918,            0.023113,           0.0046561,           0.0046561,            0.057956
                  12,            0.077091,             0.18929,            0.022314,              0.4497,             0.28193,             0.13018,            0.027354,            0.078426,             0.15313,            0.017813,            0.005042,            0.005042,            0.054442
                  13,            0.074192,             0.18995,            0.021348,             0.52912,             0.33932,             0.22219,            0.059293,            0.069407,             0.15835,            0.016154,           0.0054273,           0.0054273,            0.050927
                  14,            0.071168,             0.18649,            0.020058,            0.068774,             0.35151,            0.071261,            0.013436,            0.085249,              0.1532,            0.019673,           0.0058118,           0.0058118,            0.047412
                  15,            0.069123,             0.17815,            0.018317,             0.50787,             0.24786,             0.14402,            0.032364,            0.076794,             0.15018,            0.018791,           0.0061955,           0.0061955,            0.043895
                  16,            0.067148,             0.17758,            0.017612,             0.18562,             0.54256,             0.27665,            0.069861,               0.071,             0.13381,            0.012773,           0.0065783,           0.0065783,            0.040378
                  17,            0.066004,             0.17606,            0.016525,             0.22387,             0.32268,             0.15493,            0.031495,            0.081124,             0.12886,            0.013849,           0.0069601,           0.0069601,             0.03686
                  18,            0.063639,             0.17408,            0.015644,              0.1721,              0.4655,             0.16719,            0.033103,            0.076684,             0.13213,            0.013834,            0.007341,            0.007341,            0.033341
                  19,            0.062377,             0.17801,            0.014824,             0.21896,             0.42385,             0.21383,            0.057288,            0.069392,             0.14963,            0.015452,           0.0077208,           0.0077208,            0.029821
                  20,            0.061355,             0.17636,            0.014088,             0.22289,             0.46539,             0.20909,            0.051211,            0.071467,             0.17058,            0.019104,           0.0080996,           0.0080996,              0.0263
                  21,            0.060353,             0.17944,            0.013058,             0.40537,             0.52171,              0.4204,             0.10485,            0.062396,             0.15004,            0.012207,           0.0084771,           0.0084771,            0.022777
