               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09907,             0.17611,             0.03671,           0.0020833,             0.14388,           0.0016639,          0.00028781,            0.090782,             0.12923,            0.033895,             0.00044,             0.00044,             0.09604
                   1,            0.093141,             0.19214,            0.033795,           0.0031241,            0.014388,           0.0025024,          0.00048094,            0.089276,             0.13454,            0.031183,          0.00088995,          0.00088995,             0.09199
                   2,            0.091941,             0.19901,            0.031632,           0.0026736,             0.18465,           0.0031757,          0.00056143,            0.089047,             0.13614,            0.029213,           0.0013397,           0.0013397,             0.08794
                   3,            0.091286,             0.19555,            0.030279,             0.33982,            0.023981,           0.0060657,           0.0014898,            0.089176,             0.13511,            0.027975,           0.0017891,           0.0017891,            0.083889
                   4,            0.090462,             0.19726,            0.029336,             0.34284,            0.043165,           0.0085667,           0.0015873,            0.090758,             0.13109,            0.026991,            0.002238,            0.002238,            0.079838
                   5,            0.089733,             0.19942,            0.028379,            0.011837,             0.06235,           0.0076534,           0.0016196,            0.089168,             0.13474,            0.025929,           0.0026863,           0.0026863,            0.075786
                   6,             0.08962,              0.2006,            0.027833,            0.011312,             0.16307,             0.01021,           0.0022119,             0.08908,             0.13095,            0.025016,           0.0031337,           0.0031337,            0.071734
                   7,            0.088308,             0.18924,            0.027076,             0.36865,            0.054755,            0.015375,           0.0029451,            0.090269,             0.12887,            0.022914,           0.0035802,           0.0035802,             0.06768
                   8,            0.084918,             0.18991,            0.026021,             0.40953,             0.21995,            0.071505,            0.013982,            0.082754,             0.13124,            0.020749,           0.0040257,           0.0040257,            0.063626
                   9,            0.081515,              0.1896,            0.023961,             0.38243,              0.1223,             0.05131,           0.0093931,            0.090591,             0.12522,            0.021155,           0.0044698,           0.0044698,             0.05957
                  10,            0.077577,             0.19122,            0.022351,             0.47622,             0.23154,            0.094058,            0.020236,            0.080143,             0.12154,            0.017051,           0.0049126,           0.0049126,            0.055513
                  11,            0.075294,             0.19265,            0.021667,             0.37231,            0.070635,            0.022538,           0.0063982,            0.074199,             0.16243,            0.016411,           0.0053539,           0.0053539,            0.051454
                  12,            0.072105,             0.18886,            0.020287,             0.24728,             0.38874,             0.18223,            0.046661,            0.070997,             0.12623,            0.014807,           0.0057935,           0.0057935,            0.047393
                  13,            0.069886,             0.18798,            0.018812,             0.53271,             0.23661,             0.18476,            0.040275,            0.073593,                0.12,             0.01431,           0.0062312,           0.0062312,            0.043331
                  14,             0.06733,             0.18932,            0.018069,             0.33943,             0.23403,              0.1777,            0.038688,            0.077743,              0.1103,            0.014481,            0.006667,            0.006667,            0.039267
                  15,            0.065528,             0.17704,            0.016758,             0.59481,             0.31048,             0.27498,            0.068913,            0.064137,              0.1374,            0.010219,           0.0071006,           0.0071006,            0.035201
                  16,            0.063135,             0.17898,            0.015419,             0.52167,             0.38313,             0.23639,            0.056631,            0.068235,             0.11604,            0.016301,            0.007532,            0.007532,            0.031132
                  17,            0.063753,             0.18414,             0.01452,              0.1802,             0.34752,             0.15196,            0.029917,            0.072988,             0.10578,             0.01063,            0.007961,            0.007961,            0.027061
                  18,            0.062548,             0.18463,            0.013911,             0.18678,             0.34345,             0.16864,            0.034832,            0.073606,             0.12382,            0.012302,           0.0083874,           0.0083874,            0.022987
                  19,            0.062652,             0.17531,            0.012865,             0.22494,             0.33328,             0.20203,            0.044193,            0.074423,             0.13136,            0.014946,           0.0088112,           0.0088112,            0.018911
