               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10041,             0.18149,            0.036723,           0.0021181,             0.14628,           0.0017837,          0.00034083,            0.091448,             0.12797,            0.034224,             0.00044,             0.00044,             0.09604
                   1,            0.093546,             0.19746,            0.033923,           0.0038889,             0.26859,           0.0075837,           0.0016517,            0.089216,             0.13493,            0.031529,          0.00088995,          0.00088995,             0.09199
                   2,            0.091861,             0.19589,            0.031806,           0.0065474,             0.27578,            0.010943,           0.0026053,            0.088941,             0.13598,            0.029482,           0.0013397,           0.0013397,             0.08794
                   3,            0.090958,             0.20045,            0.030414,           0.0069992,             0.27098,            0.010458,           0.0020426,            0.088584,             0.13681,            0.028119,           0.0017891,           0.0017891,            0.083889
                   4,            0.090385,             0.20124,             0.02936,           0.0094699,            0.093525,           0.0091419,           0.0016379,            0.088455,             0.13705,            0.026978,            0.002238,            0.002238,            0.079838
                   5,            0.090384,             0.20271,            0.028673,             0.67944,            0.069544,            0.012305,           0.0022092,            0.088404,             0.13662,            0.026098,           0.0026863,           0.0026863,            0.075786
                   6,            0.090184,             0.20079,            0.028157,             0.35151,              0.2518,             0.01619,           0.0031332,            0.088608,             0.13514,            0.025316,           0.0031337,           0.0031337,            0.071734
                   7,            0.089765,              0.1958,            0.027492,             0.37426,             0.10552,            0.032766,           0.0066213,            0.089427,             0.13324,            0.024188,           0.0035802,           0.0035802,             0.06768
                   8,            0.087401,              0.1881,            0.026626,             0.10623,              0.2198,            0.091451,            0.016854,            0.084625,             0.12964,            0.021431,           0.0040257,           0.0040257,            0.063626
                   9,            0.082048,             0.19226,            0.024126,             0.51699,             0.22996,             0.16338,            0.042929,            0.076182,             0.12629,            0.017298,           0.0044698,           0.0044698,             0.05957
                  10,            0.076844,             0.18822,            0.021529,            0.073033,             0.27697,            0.058647,            0.011584,            0.089992,             0.12048,            0.019065,           0.0049126,           0.0049126,            0.055513
                  11,            0.076007,             0.18627,            0.019772,            0.073448,             0.27826,            0.058254,            0.012966,            0.090838,             0.11199,            0.020869,           0.0053539,           0.0053539,            0.051454
                  12,            0.071468,              0.1856,             0.01899,             0.44436,             0.11296,             0.07294,            0.017728,            0.084671,             0.11605,            0.015444,           0.0057935,           0.0057935,            0.047393
                  13,            0.069011,             0.18438,            0.018107,             0.46615,              0.1467,            0.087873,            0.016189,            0.081481,             0.12764,            0.012026,           0.0062312,           0.0062312,            0.043331
                  14,            0.065541,             0.18028,            0.017081,             0.19653,             0.43895,             0.24756,            0.051366,            0.070813,             0.12121,            0.011399,            0.006667,            0.006667,            0.039267
                  15,            0.064009,             0.17974,            0.015534,                0.23,             0.40301,             0.25987,            0.056144,            0.069379,              0.1332,            0.014258,           0.0071006,           0.0071006,            0.035201
                  16,            0.061008,             0.18031,            0.014731,             0.26095,             0.47004,             0.33437,             0.08558,             0.06637,             0.11638,            0.013529,            0.007532,            0.007532,            0.031132
                  17,            0.060254,             0.17536,             0.01328,             0.35478,             0.60652,             0.45712,             0.14539,            0.056515,             0.16123,           0.0099624,            0.007961,            0.007961,            0.027061
                  18,             0.05955,             0.17621,            0.012846,             0.43103,             0.59312,              0.4845,              0.1623,            0.054763,             0.12443,           0.0081275,           0.0083874,           0.0083874,            0.022987
                  19,            0.060548,             0.17541,            0.011955,             0.15238,             0.37703,             0.12913,            0.039571,            0.071761,             0.13148,            0.014764,           0.0088112,           0.0088112,            0.018911
                  20,            0.058288,             0.18024,            0.011798,             0.23249,             0.36786,             0.18323,            0.066031,            0.056778,             0.18664,            0.018335,           0.0092321,           0.0092321,            0.014832
                  21,            0.056888,             0.17158,            0.011341,             0.55295,             0.62518,             0.57205,             0.18545,            0.052569,             0.10827,           0.0069238,           0.0096501,           0.0096501,             0.01075
                  22,             0.05647,             0.17198,            0.010397,             0.31543,             0.44021,             0.36697,             0.14386,            0.052994,             0.12373,              0.0204,            0.009734,            0.009734,            0.009734
                  23,            0.054005,             0.16997,           0.0098088,             0.34087,             0.47316,              0.3633,            0.099327,            0.060492,             0.11564,            0.014306,            0.009734,            0.009734,            0.009734
                  24,            0.053092,              0.1723,           0.0092292,             0.42697,             0.67592,             0.54448,             0.20418,            0.049667,              0.1221,            0.012324,           0.0097095,           0.0097095,           0.0097095
                  25,            0.052694,             0.17385,           0.0090266,             0.58845,             0.61085,              0.6003,             0.20384,            0.052154,             0.11119,           0.0085439,            0.009684,            0.009684,            0.009684
                  26,            0.051665,             0.16429,           0.0085804,             0.38783,              0.5022,             0.40703,             0.12015,            0.064087,             0.10093,            0.010345,           0.0096575,           0.0096575,           0.0096575
                  27,            0.050942,             0.16348,           0.0082904,              0.5621,             0.55356,             0.53601,             0.17898,            0.054612,             0.10887,            0.010502,           0.0096299,           0.0096299,           0.0096299
                  28,            0.049614,             0.16897,           0.0086485,             0.49444,              0.6508,             0.59856,             0.24322,            0.050338,             0.10687,            0.011735,           0.0096013,           0.0096013,           0.0096013
                  29,            0.049124,             0.16414,           0.0082398,             0.37202,             0.66186,             0.51892,             0.25085,            0.044525,              0.1106,            0.014722,           0.0095717,           0.0095717,           0.0095717
                  30,            0.047998,             0.16254,           0.0075503,             0.46537,              0.5781,             0.52326,             0.25866,            0.043741,             0.12117,            0.017534,           0.0095411,           0.0095411,           0.0095411
                  31,             0.04947,             0.16442,           0.0076796,             0.57682,             0.59416,             0.61683,             0.24224,            0.051384,             0.10115,           0.0080711,           0.0095095,           0.0095095,           0.0095095
                  32,            0.047954,             0.16443,           0.0077954,             0.45542,             0.59981,             0.51938,             0.28233,            0.041286,             0.11198,            0.013884,           0.0094769,           0.0094769,           0.0094769
                  33,            0.047399,              0.1602,           0.0072708,             0.49298,             0.67804,             0.61597,             0.23064,            0.051642,             0.10462,            0.011159,           0.0094434,           0.0094434,           0.0094434
                  34,             0.04575,             0.16156,            0.007163,             0.65376,             0.61693,             0.68133,             0.30578,            0.047496,             0.10436,           0.0071914,           0.0094088,           0.0094088,           0.0094088
                  35,            0.045759,             0.15888,           0.0070381,             0.50986,             0.56218,             0.54444,             0.25908,            0.046363,             0.11062,            0.012765,           0.0093733,           0.0093733,           0.0093733
                  36,            0.046138,             0.15989,           0.0068703,             0.63318,             0.66102,             0.69352,              0.3949,            0.040137,             0.10263,           0.0073779,           0.0093369,           0.0093369,           0.0093369
                  37,            0.045659,             0.15501,           0.0071111,             0.58545,              0.6302,             0.64738,             0.31864,             0.04523,               0.107,           0.0099727,           0.0092995,           0.0092995,           0.0092995
                  38,            0.043697,             0.15108,           0.0067867,             0.50879,             0.50158,             0.49215,             0.31145,            0.036635,             0.11434,            0.016334,           0.0092611,           0.0092611,           0.0092611
                  39,            0.044872,             0.15706,           0.0064727,             0.56725,             0.67192,              0.6538,             0.37998,            0.038517,             0.10466,           0.0076039,           0.0092219,           0.0092219,           0.0092219
                  40,            0.044311,             0.15249,           0.0063646,               0.629,             0.57053,             0.62339,             0.40714,            0.035769,             0.10666,            0.012155,           0.0091817,           0.0091817,           0.0091817
                  41,            0.043573,             0.15933,           0.0063298,              0.5699,             0.65103,             0.62623,             0.22968,            0.053345,             0.10276,           0.0079827,           0.0091406,           0.0091406,           0.0091406
                  42,            0.042607,             0.15907,           0.0061495,             0.54593,             0.61915,             0.59115,             0.34717,            0.037603,             0.11004,             0.01236,           0.0090986,           0.0090986,           0.0090986
                  43,            0.043515,             0.15366,           0.0062007,              0.5995,             0.65486,             0.66801,             0.33746,            0.045459,              0.1055,            0.010347,           0.0090557,           0.0090557,           0.0090557
                  44,            0.042878,             0.15201,           0.0062336,             0.58623,             0.62666,             0.64834,             0.34032,             0.04127,             0.10969,            0.009225,           0.0090119,           0.0090119,           0.0090119
                  45,            0.042456,             0.15402,           0.0061879,             0.64863,             0.68094,             0.71104,             0.33326,            0.045882,             0.10392,           0.0068649,           0.0089673,           0.0089673,           0.0089673
                  46,            0.042451,             0.15227,           0.0059272,             0.60188,             0.68531,             0.69445,             0.28251,            0.051219,             0.10322,           0.0075042,           0.0089218,           0.0089218,           0.0089218
